Espèce,Variété,Fournisseur,Délai croissance plants (j),Date en terre,Durée avant récolte (j),Étalement récolte (j),Date réalisation plants,Date début récolte,Date fin récolte,Longueur de rang de cette série (m),Longueur de  rang totale (m),Longueur de  rang par livraison (m),Nombre de rangs retenus,Intra rang (cm),Nombre de pieds,Nb graines par m,Nombre de graines,Nb graines par gramme,Poids par graine (g),Poids de graines (g),lieu,liste_planches
Laitue,batavia blonde,,23,18/05/2016,24,15,25/04/2016,11/06/2016,26/06/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",CHAMP,
Laitue,feuille de chêne rouge,,21,02/06/2016,23,15,12/05/2016,25/06/2016,10/07/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",CHAMP,
Laitue,feuille de chêne bonde,,21,17/06/2016,22,15,27/05/2016,09/07/2016,24/07/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",CHAMP,
Laitue,romaine Victorinus,,21,02/07/2016,21,15,11/06/2016,23/07/2016,07/08/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",CHAMP,
Laitue,batavia rouge,,21,17/07/2016,21,15,26/06/2016,07/08/2016,22/08/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",CHAMP,
Laitue,batavia blonde,,21,01/08/2016,21,15,11/07/2016,22/08/2016,06/09/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",CHAMP,
Laitue,feuille de chêne rouge,,21,16/08/2016,21,15,26/07/2016,06/09/2016,21/09/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",CHAMP,
Laitue,feuille de chêne bonde,,21,31/08/2016,21,15,10/08/2016,21/09/2016,06/10/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,romaine Victorinus,,21,15/09/2016,21,15,25/08/2016,06/10/2016,21/10/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,batavia rouge,,21,30/09/2016,22,15,09/09/2016,22/10/2016,06/11/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,batavia blonde,,22,15/10/2016,23,15,23/09/2016,07/11/2016,22/11/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Laitue,feuille de chêne rouge,,23,30/10/2016,25,15,07/10/2016,24/11/2016,09/12/2016,30,"535,714285714286","11,9047619047619",4,30,100,"3,7037037037037","111,111111111111",900,"0,00111111111111111","0,123456790123457",SERRE,
Mâche,Vit,GERMINANCE,30,02/11/2016,30,15,03/10/2016,02/12/2016,17/12/2016,170,"583,333333333333","83,3333333333333",8,15,"1133,33333333333","7,40740740740741","1259,25925925926",800,"0,00125","1,57407407407407",SERRE,
Mâche,Verte de Cambrai,GERMINANCE,30,17/11/2016,30,15,18/10/2016,17/12/2016,01/01/2017,170,"583,333333333333","83,3333333333333",8,15,"1133,33333333333","7,40740740740741","1259,25925925926",800,"0,00125","1,57407407407407",SERRE,
Mâche,Vit,GERMINANCE,30,30/11/2016,31,15,31/10/2016,31/12/2016,15/01/2017,170,"583,333333333333","83,3333333333333",8,15,"1133,33333333333","7,40740740740741","1259,25925925926",800,"0,00125","1,57407407407407",SERRE,
Mâche,Verte de Cambrai,GERMINANCE,30,13/12/2016,32,15,13/11/2016,14/01/2017,29/01/2017,170,"583,333333333333","83,3333333333333",8,15,"1133,33333333333","7,40740740740741","1259,25925925926",800,"0,00125","1,57407407407407",SERRE,
Navet,Boule d'or,,,,,,-,30/12/1899,30/12/1899,,"850,340136054422","85,0340136054422",8,5,,"22,2222222222222",,,#DIV/0 !,#DIV/0 !,CHAMP,
Navet,Rose,,,,,,-,30/12/1899,30/12/1899,,"850,340136054422","85,0340136054422",8,5,0,"22,2222222222222",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Navet,datetime,,,,,,-,30/12/1899,30/12/1899,,"850,340136054422","85,0340136054422",8,5,,"22,2222222222222",,,#DIV/0 !,#DIV/0 !,CHAMP,
Navet,Rose,,,,,,-,30/12/1899,30/12/1899,,"850,340136054422","85,0340136054422",8,5,,"22,2222222222222",,,#DIV/0 !,#DIV/0 !,CHAMP,
Oignon de garde,Paille des vertus,,,04/04/2016,90,60,-,03/07/2016,01/09/2016,340,"850,340136054422","85,0340136054422",8,5,6800,"22,2222222222222","7555,55555555555",250,"0,004","30,2222222222222",CHAMP,
Oignon de garde,Doux de Tarrassac,,,05/04/2016,90,60,-,04/07/2016,02/09/2016,340,"850,340136054422","85,0340136054422",8,5,6800,"22,2222222222222","7555,55555555555",,#DIV/0 !,#DIV/0 !,CHAMP,
Oignon de garde,De Mazé,,,06/04/2016,140,6,-,24/08/2016,30/08/2016,,"850,340136054422","85,0340136054422",8,5,0,"22,2222222222222",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Oignon de printemps,,,,,,,-,30/12/1899,30/12/1899,0,250,"41,6666666666667",8,30,0,"3,7037037037037",0,250,"0,004",0,CHAMP,
Oignon de printemps,,,,,,,-,30/12/1899,30/12/1899,,250,"41,6666666666667",8,30,,"3,7037037037037",,,#DIV/0 !,#DIV/0 !,CHAMP,
Panais,,,,08/04/2016,142,8,-,28/08/2016,05/09/2016,,"661,375661375662","132,275132275132",8,10,0,"11,1111111111111",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Persil,,,,10/04/2016,144,10,-,01/09/2016,11/09/2016,,500,25,6,20,,"22,2222222222222",,,#DIV/0 !,#DIV/0 !,CHAMP,
Poireau,Atlanta,GERMINANCE,,25/06/2016,120,180,-,23/10/2016,21/04/2017,500,"326,530612244898","16,3265306122449","3,42857142857143",10,5000,"11,1111111111111","5555,55555555555",400,"0,0025","13,8888888888889",CHAMP,
Pois,,,,,,,-,30/12/1899,30/12/1899,,"111,111111111111","27,7777777777778",2,5,0,"66,6666666666667",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Pois,Mangetout Héraut,,,10/02/2016,,,-,10/02/2016,10/02/2016,150,"111,111111111111","27,7777777777778",2,5,3000,"66,6666666666667",10000,,#DIV/0 !,#DIV/0 !,CHAMP,
Poivron,corno di toro rouge,GERMINANCE,21,15/05/2016,90,75,24/04/2016,13/08/2016,27/10/2016,30,70,5,"2,4",50,60,"2,22222222222222","66,6666666666666",190,"0,00526315789473684","0,350877192982456",SERRE,
Poivron,Yolo Wonder,GERMINANCE,21,15/05/2016,90,75,24/04/2016,13/08/2016,27/10/2016,40,70,5,"2,4",50,80,"2,22222222222222","88,8888888888888",190,"0,00526315789473684","0,467836257309941",SERRE,
Pomme de terre de garde,alliance,,,21/04/2016,130,1,-,29/08/2016,30/08/2016,,"1111,11111111111","30,8641975308642","2,4",35,0,"3,17460317460317",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Pomme de terre de garde,nicola,,,21/04/2016,130,1,-,29/08/2016,30/08/2016,,"1111,11111111111","30,8641975308642","2,4",35,0,"3,17460317460317",0,,#DIV/0 !,#DIV/0 !,CHAMP,
